FID,osm_id,code,fclass,name,shape@x,shape@y
1708,"12102045253",3500,hindu,Shri Bihari Ji Tempie,78.5741125000,23.6251760000
475,"5222206223",3500,hindu,Vanvasi temple STP,78.6474556000,25.3588794000
782,"7644984840",3500,hindu,Banknath Atal Darbar,75.0849783000,22.2332736000
709,"7125738924",3500,hindu,Rajrajeshwari Temple,80.3692660000,22.5882202000
1719,"12107619275",3500,hindu,Mata bai Mandir,78.5653081000,23.6826290000
1599,"11698571196",3300,muslim,,77.8235604000,23.5249026000
1513,"11690576035",3500,hindu,jain digamber,76.6968759000,25.6601493000
1814,"12176121339",3500,hindu,Sankat Mochan  Mandir,78.7397108000,23.8540860000
268,"3912487167",3500,hindu,,77.6113512000,22.9373126000
941,"8137094038",3500,hindu,Sai temple,77.4369802000,23.2073533000
1760,"12159260774",3500,hindu,Hanuman Mandir,78.4755914000,23.9766769000
1430,"11434540508",3500,hindu,Shri Gajanan Bhavan,78.7506840000,23.8175501000
511,"5363701354",3500,hindu,Nagalwadi-Shikhardham,75.2511311000,21.7244252000
414,"4720417390",3300,muslim,Mosque,78.7321421000,21.8835632000
1474,"11659308225",3400,buddhist,Shiv Mandir,80.4131269000,22.8848269000
1507,"11690469336",3500,hindu,ramjanki mandir,76.6895085000,25.6821631000
643,"6562897545",3500,hindu,Baba ramdev mandir,76.7226598000,23.0158204000
269,"3912758573",3300,muslim,,79.9001636000,23.1494287000
1862,"12203563506",3500,hindu,Jaaay maa harsiddhi,78.6043185000,24.1074171000
1739,"12151003238",3500,hindu,Rajmandir Ratona,78.6738996000,23.8196279000
189,"3633912152",3500,hindu,Shri Badrivishal Mandir,75.1429758000,24.4794590000
187,"3585121403",3500,hindu,Mandir,75.8879116000,22.7545340000
1770,"12159957521",3500,hindu,Talaiya Mandir,78.3257115000,24.0423417000
1709,"12102300600",3500,hindu,Badhi Durga  Ma Mandir,78.5755300000,23.6305278000
432,"4836560233",3100,christian,Bethlehem Church,77.4163689000,23.2570256000
1389,"11230838535",3500,hindu,Shankar Mandir,79.9059391000,23.3918981000
1699,"12100486129",3500,hindu,Radha Karishna Mandir,78.7039124000,23.7206879000
1865,"12206436552",3500,hindu,Prempura Sarkar Hanuman Mandir,78.5905900000,24.1785510000
769,"7541428415",3500,hindu,Bholenath Tample,76.3822182000,21.3032489000
1798,"12174583051",3500,hindu,Shri HanumanJi Mandir Karampur,78.3705490000,24.1845543000
1848,"12194139824",3500,hindu,Shiv Mandir Rai Mohalla  Mehar,78.6591464000,23.9847009000
1494,"11690375140",3500,hindu,Shree Surya Mandir,75.8044329000,22.6588209000
1209,"10218994862",3500,hindu,Maharaja Panjav Singh palace,77.8992821000,26.0291149000
1001,"8609679301",3500,hindu,Durga Mandir,78.3416019000,23.5931726000
399,"4706156031",3500,hindu,Bijasan Matta temple SAF Colony,78.4408777000,25.6802232000
18,"1109077126",3500,hindu,Ram-Raja,78.6397977000,25.3508385000
1912,"12526240309",3500,hindu,,78.1460393000,26.1995822000
1466,"11637358364",3400,buddhist,Shiv-Tempel,80.4584242000,22.2145770000
