FID,osm_id,code,fclass,name
1861,"12201350222",3500,hindu,Shri Dev  Laxmi Narayan Mandir Bandri
1838,"12189727321",3500,hindu,Radha Swami Mandir  Kamlesh Patel
1257,"10758040913",3400,buddhist,SDhiv mandir
1550,"11691267224",3100,christian,Mar Gregorios Orthodox Syrian church
1253,"10750127501",3500,hindu,Joda Pat Mandir
1631,"11736924942",3500,hindu,Kherapati Mata Temple
1571,"11693461404",3800,sikh,gurudwara
1690,"12090273868",3500,hindu,Gayatri Mandir
1717,"12107584293",3500,hindu,Shri Seetarmarn Mandir Onria
1223,"10310236726",3500,hindu,
1440,"11506610049",3500,hindu,
1684,"12076847627",3500,hindu,Mahakali Tigdda
1606,"11698820945",3500,hindu,"Shiv Mandir, Raikhedi"
1833,"12188175552",3500,hindu,Gadhpura Mandir
1680,"12072964251",3500,hindu,Jai Ma Sinhwahni Mata Mandir
1696,"12100400734",3500,hindu,MA Khermata Mandir
1384,"11136724662",3500,hindu,"Shri Gajanan Bhavan, Sagar"
1465,"11634391258",3102,christian_catholic,St. Joseph Church
1453,"11568452659",3500,hindu,Hanuman Mandir
469,"5193565864",3500,hindu,अन्नपूर्णा मंदिर
375,"4623154600",3500,hindu,Ranjeet Hanuman Temple
804,"7799242030",3500,hindu,Maa Durga Temple
1442,"11513106362",3500,hindu,
1849,"12194179158",3500,hindu,Mata Madiya (Khear Mata Mandir )
1472,"11643018344",3500,hindu,Amba Mai
1720,"12107632128",3500,hindu,Ma Beejasain  Mata Mandir
1818,"12176616700",3500,hindu,Gurudwara Shri Guru S..S...
1610,"11709859678",3500,hindu,Shree Krishna Temple
1447,"11541586817",3500,hindu,
1355,"10959759722",3500,hindu,JAGDAMBA
419,"4762877240",3500,hindu,
1497,"11690381780",3500,hindu,Shree Siddheshwar Veer Hanuman Mandir
1553,"11691511813",3500,hindu,mukteshwar mahadev
1769,"12159888682",3500,hindu,Hanuman Mandir
1501,"11690381801",3500,hindu,Banke Bihari Temple
778,"7594173345",3500,hindu,Sai temple
1788,"12172358026",3500,hindu,Maa Narayani Mandir
1866,"12206436736",3500,hindu,Haduaa Ram Mandir
1551,"11691267240",3500,hindu,Durga Ji Mandir
